,Index,Date,TransitRidersOther,TransitRidersBus,TransitRidersRail,HwyStSpending,MassTransSpending,TransptSpending,OthPubSafetySpending,PubSafetySpending,InfraSpending,HospSpending,PriceDiesel,PriceGas,UnemploymentRt,Employed,Unemployed,RailRiders,HvyTruckSales,LtTruckSales,AutoSales,HvyTrkSalesSAAR,LtTrkSalesSAAR,AutoSaleSAAR,Year
756,756,2010-01-01,14499667.0,410457520.0,347691757.0,3542000000.0,386000000.0,1682000000.0,262000000.0,641000000.0,58000000.0,389000000.0,2.845,2.715,0.098,0.648,15046000.0,2032892.0,15900.0,340400.0,356200.0,224000.0,5251000.0,5416000.0,2010
757,757,2010-02-01,13892250.0,399337177.0,316986967.0,3742000000.0,473000000.0,1759000000.0,263000000.0,619000000.0,71000000.0,367000000.0,2.785,2.644,0.098,0.649,15113000.0,1951901.0,14900.0,385300.0,393100.0,207000.0,5011000.0,5098000.0,2010
758,758,2010-03-01,16722930.0,469307244.0,391219357.0,4502000000.0,531000000.0,2030000000.0,258000000.0,624000000.0,74000000.0,420000000.0,2.915,2.772,0.099,0.649,15202000.0,2474908.0,20300.0,530100.0,533500.0,219000.0,5921000.0,5632000.0,2010
759,759,2010-04-01,16387381.0,449671571.0,387345724.0,5650000000.0,588000000.0,2272000000.0,262000000.0,647000000.0,70000000.0,394000000.0,3.059,2.848,0.099,0.652,15325000.0,2446113.0,16900.0,486800.0,493600.0,204000.0,5765000.0,5484000.0,2010
760,760,2010-05-01,15944034.0,435053879.0,385478717.0,6964000000.0,551000000.0,2332000000.0,257000000.0,648000000.0,103000000.0,394000000.0,3.069,2.836,0.096,0.649,14849000.0,2503651.0,16800.0,545600.0,555200.0,209000.0,6098000.0,5723000.0,2010
761,761,2010-06-01,16650219.0,428191164.0,380981068.0,8353000000.0,580000000.0,2403000000.0,263000000.0,642000000.0,145000000.0,387000000.0,2.948,2.732,0.094,0.646,14474000.0,2593688.0,19200.0,487800.0,493500.0,212000.0,5750000.0,5636000.0,2010
762,762,2010-07-01,16716659.0,411698466.0,373528956.0,8219000000.0,489000000.0,2409000000.0,250000000.0,617000000.0,187000000.0,394000000.0,2.911,2.729,0.094,0.646,14512000.0,2805798.0,18700.0,532000.0,515000.0,234000.0,5977000.0,5738000.0,2010
763,763,2010-08-01,17451396.0,427127276.0,383073592.0,9483000000.0,518000000.0,2399000000.0,238000000.0,622000000.0,138000000.0,411000000.0,2.959,2.73,0.095,0.647,14648000.0,2574165.0,17200.0,503500.0,490800.0,212000.0,6016000.0,5786000.0,2010
764,764,2010-09-01,16396144.0,450528523.0,381010089.0,9727000000.0,757000000.0,2719000000.0,249000000.0,659000000.0,182000000.0,412000000.0,2.946,2.705,0.095,0.646,14579000.0,2300632.0,18000.0,492800.0,463200.0,219000.0,5944000.0,5759000.0,2010
765,765,2010-10-01,16297987.0,461866467.0,393517665.0,8858000000.0,541000000.0,2370000000.0,225000000.0,644000000.0,151000000.0,421000000.0,3.052,2.801,0.094,0.644,14516000.0,2542494.0,18500.0,510300.0,436400.0,216000.0,6435000.0,5765000.0,2010
766,766,2010-11-01,15225173.0,434670973.0,371234187.0,7269000000.0,514000000.0,2124000000.0,224000000.0,644000000.0,113000000.0,410000000.0,3.14,2.859,0.098,0.646,15081000.0,2541469.0,18400.0,473900.0,395700.0,230000.0,6406000.0,5664000.0,2010
767,767,2010-12-01,15110462.0,403340128.0,378015824.0,4999000000.0,519000000.0,1996000000.0,212000000.0,581000000.0,89000000.0,392000000.0,3.243,2.993,0.093,0.643,14348000.0,2505001.0,22800.0,630500.0,509600.0,223000.0,6455000.0,5928000.0,2010
768,768,2011-01-01,14725448.0,408972557.0,353341329.0,3712000000.0,423000000.0,1689000000.0,176000000.0,536000000.0,109000000.0,413000000.0,3.388,3.095,0.091,0.642,14013000.0,2126847.0,18200.0,437900.0,380300.0,259000.0,6747000.0,5800000.0,2011
769,769,2011-02-01,14252551.0,404031114.0,345816403.0,3755000000.0,443000000.0,1689000000.0,174000000.0,526000000.0,74000000.0,412000000.0,3.584,3.211,0.09,0.641,13820000.0,2099631.0,19100.0,505000.0,483000.0,266000.0,6574000.0,6242000.0,2011
770,770,2011-03-01,17218800.0,470021909.0,403661890.0,4379000000.0,533000000.0,1861000000.0,186000000.0,555000000.0,80000000.0,449000000.0,3.905,3.561,0.09,0.642,13737000.0,2612362.0,25500.0,602900.0,648500.0,275000.0,6435000.0,6549000.0,2011
771,771,2011-04-01,16620349.0,443442345.0,380098875.0,5110000000.0,471000000.0,1993000000.0,186000000.0,587000000.0,61000000.0,478000000.0,4.064,3.8,0.091,0.642,13957000.0,2689904.0,23000.0,554500.0,596000.0,289000.0,6525000.0,6512000.0,2011
772,772,2011-05-01,16932014.0,443812793.0,403264476.0,6321000000.0,501000000.0,2012000000.0,204000000.0,602000000.0,83000000.0,449000000.0,4.047,3.906,0.09,0.641,13855000.0,2707136.0,25100.0,521600.0,534600.0,300000.0,6094000.0,5886000.0,2011
773,773,2011-06-01,17458827.0,432593481.0,394758396.0,7791000000.0,488000000.0,2152000000.0,210000000.0,673000000.0,104000000.0,470000000.0,3.933,3.68,0.091,0.64,13962000.0,2844286.0,27500.0,529900.0,513900.0,305000.0,5908000.0,5673000.0,2011
774,774,2011-07-01,17187395.0,407435042.0,383886673.0,8018000000.0,453000000.0,1981000000.0,206000000.0,600000000.0,246000000.0,473000000.0,3.905,3.65,0.09,0.64,13763000.0,2931813.0,23700.0,565000.0,497400.0,301000.0,6643000.0,5776000.0,2011
775,775,2011-08-01,18111246.0,436180377.0,372048497.0,9092000000.0,579000000.0,2212000000.0,203000000.0,639000000.0,163000000.0,455000000.0,3.86,3.639,0.09,0.641,13818000.0,2754574.0,27700.0,569200.0,497600.0,326000.0,6548000.0,5730000.0,2011
776,776,2011-09-01,16961593.0,461288470.0,396967860.0,9303000000.0,490000000.0,2092000000.0,178000000.0,642000000.0,133000000.0,461000000.0,3.837,3.611,0.09,0.642,13948000.0,2537282.0,27300.0,573700.0,475000.0,330000.0,7057000.0,5968000.0,2011
777,777,2011-10-01,16699635.0,471099250.0,415259570.0,8485000000.0,482000000.0,2015000000.0,179000000.0,618000000.0,125000000.0,421000000.0,3.798,3.448,0.088,0.641,13594000.0,2390414.0,29100.0,549000.0,470100.0,339000.0,7010000.0,6381000.0,2011
778,778,2011-11-01,15752351.0,441713618.0,389176595.0,7336000000.0,473000000.0,1861000000.0,198000000.0,638000000.0,94000000.0,430000000.0,3.962,3.384,0.086,0.641,13302000.0,2631848.0,26700.0,546800.0,455300.0,337000.0,7088000.0,6318000.0,2011
779,779,2011-12-01,15624820.0,422212928.0,385444895.0,5068000000.0,511000000.0,1785000000.0,218000000.0,629000000.0,189000000.0,407000000.0,3.861,3.266,0.085,0.64,13093000.0,2516685.0,33600.0,693700.0,541300.0,342000.0,7172000.0,6283000.0,2011
780,780,2012-01-01,15315315.0,427953710.0,378393816.0,3664000000.0,423000000.0,1601000000.0,217000000.0,616000000.0,102000000.0,425000000.0,3.833,3.38,0.083,0.637,12797000.0,2224842.0,24300.0,453400.0,460500.0,337000.0,6984000.0,7074000.0,2012
781,781,2012-02-01,15679367.0,439194906.0,383436669.0,4002000000.0,536000000.0,1673000000.0,195000000.0,591000000.0,87000000.0,435000000.0,3.953,3.579,0.083,0.638,12813000.0,2232285.0,27000.0,544800.0,604000.0,358000.0,6931000.0,7686000.0,2012
782,782,2012-03-01,16912364.0,466571084.0,408269094.0,4328000000.0,515000000.0,1687000000.0,206000000.0,610000000.0,95000000.0,430000000.0,4.127,3.852,0.082,0.638,12713000.0,2766401.0,31800.0,654200.0,747900.0,357000.0,6894000.0,7344000.0,2012
783,783,2012-04-01,16699638.0,441914254.0,389407693.0,5578000000.0,530000000.0,1807000000.0,205000000.0,635000000.0,130000000.0,434000000.0,4.115,3.9,0.082,0.637,12646000.0,2765051.0,28800.0,561000.0,614700.0,361000.0,7083000.0,7325000.0,2012
784,784,2012-05-01,17555192.0,452894333.0,407759030.0,7284000000.0,592000000.0,2038000000.0,203000000.0,647000000.0,182000000.0,469000000.0,3.979,3.732,0.082,0.637,12660000.0,2752096.0,31500.0,660800.0,677300.0,361000.0,7152000.0,6983000.0,2012
785,785,2012-06-01,17016161.0,420261984.0,392719048.0,8648000000.0,689000000.0,2306000000.0,204000000.0,679000000.0,173000000.0,454000000.0,3.759,3.539,0.082,0.638,12692000.0,2792266.0,30400.0,637900.0,641900.0,350000.0,7216000.0,6902000.0,2012
786,786,2012-07-01,17606904.0,413166330.0,396217399.0,8739000000.0,650000000.0,2251000000.0,210000000.0,672000000.0,161000000.0,491000000.0,3.721,3.439,0.082,0.637,12656000.0,2819009.0,29000.0,575400.0,567400.0,353000.0,7111000.0,6916000.0,2012
787,787,2012-08-01,18535651.0,446218381.0,406610385.0,9521000000.0,643000000.0,2344000000.0,224000000.0,678000000.0,191000000.0,465000000.0,3.983,3.722,0.081,0.635,12471000.0,2807309.0,30400.0,641300.0,633700.0,353000.0,7088000.0,7004000.0,2012
788,788,2012-09-01,16284787.0,446047174.0,393365641.0,8663000000.0,605000000.0,2362000000.0,203000000.0,644000000.0,204000000.0,485000000.0,4.12,3.849,0.078,0.636,12115000.0,2505925.0,26500.0,594500.0,585200.0,340000.0,7381000.0,7378000.0,2012
789,789,2012-10-01,17280855.0,484034500.0,401444963.0,8189000000.0,639000000.0,2505000000.0,261000000.0,657000000.0,170000000.0,488000000.0,4.094,3.746,0.078,0.638,12124000.0,2597751.0,28900.0,559400.0,530900.0,316000.0,7249000.0,7265000.0,2012
790,790,2012-11-01,16110421.0,443807311.0,381467393.0,6595000000.0,616000000.0,2225000000.0,201000000.0,627000000.0,132000000.0,474000000.0,4.0,3.452,0.077,0.636,12005000.0,2560074.0,25800.0,592400.0,551600.0,327000.0,7581000.0,7549000.0,2012
791,791,2012-12-01,15143085.0,407109182.0,381180414.0,4510000000.0,596000000.0,1997000000.0,188000000.0,584000000.0,108000000.0,472000000.0,3.961,3.31,0.079,0.637,12298000.0,2606922.0,32000.0,713200.0,629900.0,341000.0,7597000.0,7524000.0,2012
792,792,2013-01-01,16109320.0,434859729.0,391456289.0,3663000000.0,591000000.0,1803000000.0,198000000.0,502000000.0,90000000.0,412000000.0,3.909,3.319,0.08,0.637,12471000.0,2605070.0,25000.0,517500.0,523200.0,339000.0,7650000.0,7824000.0,2013
793,793,2013-02-01,14867817.0,418613331.0,358326511.0,3770000000.0,562000000.0,1809000000.0,177000000.0,521000000.0,86000000.0,436000000.0,4.111,3.67,0.077,0.634,11950000.0,2218372.0,24800.0,588800.0,604200.0,345000.0,7756000.0,7760000.0,2013
794,794,2013-03-01,16561172.0,446313477.0,403677037.0,4007000000.0,641000000.0,1919000000.0,171000000.0,522000000.0,70000000.0,425000000.0,4.068,3.711,0.075,0.633,11689000.0,2820053.0,25800.0,713900.0,739700.0,309000.0,7925000.0,7487000.0,2013
